,nd_filter,detmode,filter,dit,fill_frac,mindit_triggered,attempted_dit,mindit
86,ND_OD2,low_capacity,N2,0.011,96.85269422743056 %,True,0.009,0.011
87,ND_OD2,low_capacity,N3,0.01888712842198042,75.00210611979166 %,False,,
88,ND_OD2,low_capacity,PAH_8.6,0.03427885851401148,75.00283528645834 %,False,,
89,ND_OD2,low_capacity,PAH_8.6_ref,0.04409171075837742,75.00332139756945 %,False,,
90,ND_OD2,low_capacity,PAH_11.25,0.05600846350115129,75.00300998263889 %,False,,
91,ND_OD2,low_capacity,PAH_11.25_ref,0.05992808629644426,75.00321506076388 %,False,,
92,ND_OD2,low_capacity,Ne_II,0.10021155773299187,75.00469618055556 %,False,,
93,ND_OD2,low_capacity,Ne_II_ref,0.10802700675168792,75.00398980034723 %,False,,
94,ND_OD2,low_capacity,S_IV,0.08911994058670628,75.00464301215278 %,False,,
95,ND_OD2,low_capacity,S_IV_ref,0.08384962966413564,75.00487847222223 %,False,,
96,ND_OD3,low_capacity,open,0.019317139131694597,75.00230360243056 %,False,,
97,ND_OD3,low_capacity,N1,0.1255186360308218,75.00515190972223 %,False,,
98,ND_OD3,low_capacity,N2,0.0806036316414034,75.00322265625 %,False,,
99,ND_OD3,low_capacity,N3,0.16774614416849168,75.00530381944445 %,False,,
100,ND_OD3,low_capacity,PAH_8.6,0.27900488258544526,75.00404296875 %,False,,
101,ND_OD3,low_capacity,PAH_8.6_ref,0.34074775201135826,75.00907877604168 %,False,,
102,ND_OD3,low_capacity,PAH_11.25,0.4077933846850929,75.0069900173611 %,False,,
103,ND_OD3,low_capacity,PAH_11.25_ref,0.42816365366317793,75.00303276909722 %,False,,
104,ND_OD3,low_capacity,Ne_II,0.6007008176205573,75.00549370659722 %,False,,
105,ND_OD3,low_capacity,Ne_II_ref,0.6279434850863422,75.00612413194445 %,False,,
106,ND_OD3,low_capacity,S_IV,0.5590062111801242,75.00642035590278 %,False,,
107,ND_OD3,low_capacity,S_IV_ref,0.537795040334628,75.00707356770833 %,False,,
108,ND_OD4,low_capacity,open,0.17112706184341875,75.00436957465277 %,False,,
109,ND_OD4,low_capacity,N1,0.6832416018219776,75.00060221354167 %,False,,
110,ND_OD4,low_capacity,N2,0.5242463958060288,75.0046506076389 %,False,,
111,ND_OD4,low_capacity,N3,0.7917308115240818,74.99910590277777 %,False,,
112,ND_OD4,low_capacity,PAH_8.6,0.9753454348415064,75.00042751736112 %,False,,
113,ND_OD4,low_capacity,PAH_8.6_ref,1.041365345675441,75.00569878472221 %,False,,
114,ND_OD4,low_capacity,PAH_11.25,1.0965580261955528,75.01174479166667 %,False,,
115,ND_OD4,low_capacity,PAH_11.25_ref,1.1107682813946314,75.01087131076389 %,False,,
116,ND_OD4,low_capacity,Ne_II,1.2,75.00221245659722 %,False,,
117,ND_OD4,low_capacity,Ne_II_ref,1.21049092131809,74.99950846354166 %,False,,
118,ND_OD4,low_capacity,S_IV,1.1826544021024967,75.01853515625 %,False,,
119,ND_OD4,low_capacity,S_IV_ref,1.1726384364820848,75.00156684027777 %,False,,
